geometry,POINT_ID,X_IM,Y_IM,X_MAP,Y_MAP,REF_BADDATA,TGT_BADDATA,X_WIN_SIZE,Y_WIN_SIZE,X_SHIFT_PX,Y_SHIFT_PX,X_SHIFT_M,Y_SHIFT_M,ABS_SHIFT,ANGLE,SSIM_BEFORE,SSIM_AFTER,SSIM_IMPROVED,RELIABILITY,LAST_ERR,L1_OUTLIER,L2_OUTLIER,L3_OUTLIER,OUTLIER
POINT (557179.6361609265 4219624.010602486),10920,10400,5200,557179.6361609265,4219624.010602486,False,False,512.0,316.0,0.46917569453088415,0.43199599303429237,0.011729392339475453,-0.010799899697303772,0.015944167526878522,312.63748397557737,0.10353688220303565,0.11207054909451393,True,38.67629067866608,-9999,False,False,False,False
POINT (557181.4241609323 4219624.010602486),10921,10500,5200,557181.4241609323,4219624.010602486,False,False,512.0,316.0,0.41081803668436656,0.6223118416604494,0.0102704509627074,-0.015557796694338322,0.01864208145459465,326.569274804819,0.09905459659033772,0.10868188456089566,True,31.883619491032192,-9999,True,False,False,True
POINT (557183.2121609381 4219624.010602486),10922,10600,5200,557183.2121609381,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557185.0001609438 4219624.010602486),10923,10700,5200,557185.0001609438,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557186.7881609496 4219624.010602486),10924,10800,5200,557186.7881609496,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557188.5761609554 4219624.010602486),10925,10900,5200,557188.5761609554,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,No match found in the given window.,-9999,-9999,-9999,-9999
POINT (557190.3641609611 4219624.010602486),10926,11000,5200,557190.3641609611,4219624.010602486,False,False,512.0,316.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999,-9999.0,"The calculated shift (X: -123.72679950569447 px / Y: 0.18063322559373501 px) is recognized as too large to be valid. If you know that it is valid, just set the '-max_shift' parameter to an appropriate value. Otherwise try to use a different window size for matching via the '-ws' parameter or define the spectral bands to be used for matching manually ('-br' and '-bs').",-9999,-9999,-9999,-9999
POINT (557192.1521609669 4219624.010602486),10927,11100,5200,557192.1521609669,4219624.010602486,False,False,512.0,316.0,0.3311989348303306,1.376525093044622,0.008279973408207297,-0.03441312815994024,0.03539521647614395,346.47149065810055,0.10235613105456894,0.11892196920577637,True,8.317834131122808,-9999,True,False,False,True
POINT (557193.9401609726 4219624.010602486),10928,11200,5200,557193.9401609726,4219624.010602486,False,False,512.0,316.0,0.4678065774476587,0.528128423181604,0.011695164488628507,-0.0132032111287117,0.017638074059415153,318.46605965302444,0.11373748291542775,0.12992797308014686,True,25.675968988824977,-9999,True,False,False,True
POINT (557195.7281609784 4219624.010602486),10929,11300,5200,557195.7281609784,4219624.010602486,False,False,512.0,316.0,0.3656865747973045,0.6414481911549043,0.009142164373770356,-0.016036204993724823,0.018459118073131255,330.31274033650493,0.12248631442175097,0.1392043876481305,True,40.32019201461294,-9999,False,False,False,False
